Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
18,Southern Africa,2022,Imports CIF (millions of US dollars),,,"131,742",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,"28,214",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,"56,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,"95,232",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,"93,647",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Exports FOB (millions of US dollars),,,"97,704",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Exports FOB (millions of US dollars),,,"139,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2022,Exports FOB (millions of US dollars),,,"139,876",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,"1,470",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,"-7,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,"-2,491",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,"-10,527",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,,"12,543",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Balance imports/exports (millions of US dollars),,,"22,394",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2022,Balance imports/exports (millions of US dollars),,,"8,134",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Imports CIF (millions of US dollars),,,"19,153",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2005,Imports CIF (millions of US dollars),,,"44,948",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2010,Imports CIF (millions of US dollars),,,"83,254",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2015,Imports CIF (millions of US dollars),,,"87,237",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2020,Imports CIF (millions of US dollars),,,"113,799",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2021,Imports CIF (millions of US dollars),,,"122,820",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2022,Imports CIF (millions of US dollars),,,"136,877",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Exports FOB (millions of US dollars),,,"21,750",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2005,Exports FOB (millions of US dollars),,,"71,221",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2010,Exports FOB (millions of US dollars),,,"113,448",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2015,Exports FOB (millions of US dollars),,,"89,100",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2020,Exports FOB (millions of US dollars),,,"90,777",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2021,Exports FOB (millions of US dollars),,,"112,949",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2022,Exports FOB (millions of US dollars),,,"118,413",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Balance imports/exports (millions of US dollars),,,"2,597",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
